bootstrapNumber,dist,shape,rate,scale,mean,sd
1,gamma,7.234871612613434,1.561128333968749,0.6405623280552272,4.634386203356337,1.7229664
2,gamma,9.513030637847343,1.9586665974735493,0.5105514135432151,4.856891239232874,1.5747040000000003
3,gamma,4.284649593683344,0.8197442618200101,1.2198926501538212,5.226812547818867,2.525104000000001
4,gamma,8.931003436292485,1.775365681248162,0.563264239340796,5.030514857093322,1.6833030400000004
5,gamma,4.019227513397731,0.786566467462716,1.2713483746971466,5.10983836669626,2.5488006400000005
6,gamma,3.5444197927750984,0.8687395956456914,1.1510929224501956,4.0799565376558045,2.16712
7,gamma,9.200523344587005,1.8099121402839575,0.5525130075336749,5.083408824001552,1.6759025920000004
8,gamma,6.281901758208046,1.2112961980348482,0.8255619076674676,5.186098799285854,2.06916544
9,gamma,13.293808055492336,2.8483121978211683,0.3510851095483688,4.667258057477515,1.28008
10,gamma,12.520073530571155,2.7972991163401577,0.35748769023612625,4.475772168030344,1.264924288
11,gamma,5.357095219965443,1.0526377836101601,0.9499944003248374,5.089210460974124,2.1988000000000008
12,gamma,6.353565753867123,1.3395151616510215,0.7465387691225894,4.743183157431399,1.88174656
13,gamma,4.577469891159407,0.9365970037387603,1.0676950662965439,4.887342018911877,2.284336
14,gamma,4.451457737442243,0.8965111047886208,1.1154351515096734,4.9653124358027965,2.3533983999999997
15,gamma,117.69847317434571,24.554605774633362,0.04072555711861888,4.7933358920360485,0.4418272000000001
16,gamma,4.000344472261688,0.8052135802326247,1.241906525857527,4.9680539057798745,2.4839200000000003
17,gamma,5.3395072006612105,1.0434038108492325,0.9584017133175833,5.117392849385277,2.214614656
18,gamma,15.291471774280133,3.25630466775242,0.3070965717376268,4.695958558704114,1.2008800000000002
19,gamma,4.814726620766395,1.101184023228454,0.9081134296411217,4.37231790436858,1.9926265599999997
20,gamma,4.5563353918343745,1.0461465511377346,0.9558890185246531,4.355350965769701,2.0404
21,gamma,11.199053375702078,2.250099157765587,0.44442485858846714,4.977137712821092,1.4872672000000002
22,gamma,4.5152850533645585,0.9010718396668589,1.1097894263011443,5.011015608959585,2.35821376
23,gamma,3.37533200762534,0.7590010848297669,1.3175211735359846,4.44707138776011,2.42056
24,gamma,9.223180491479427,1.8648185909782755,0.5362451901959023,4.945886176864522,1.62856
25,gamma,59.30490745528071,12.551843936846598,0.07966956927057127,4.724796432593305,0.6135328000000002
26,gamma,10.86421750823516,2.2419949168473075,0.4460313413226644,4.845781507619304,1.4701600000000004
27,gamma,5.117700559954072,0.9225171816255906,1.0839906507083965,5.547539560115339,2.4522399999999998
28,gamma,7.569102993110358,1.635021244731537,0.6116128479811865,4.62936063827915,1.6826694400000002
29,gamma,2.319450505756574,0.39927456068470135,2.5045422335075305,5.809161750197742,3.8143532800000015
30,gamma,4.681634931762146,0.8603330072399128,1.1623406187891843,5.441654443529473,2.5149664000000005
31,gamma,4.186574659115602,0.7865688453456877,1.2713445312730531,5.322578797632968,2.6013134080000007
32,gamma,152.1854390686638,32.18603596493826,0.0310693743426294,4.728306375921734,0.38328256000000016
33,gamma,5.000985930860943,0.943108115799928,1.0603238199809333,5.302664505881379,2.3711898879999995
34,gamma,3.5906910824378295,0.843562757333812,1.1854482565833369,4.25657848360526,2.24632
35,gamma,7.34267459187107,1.3807807828880863,0.7242279240795685,5.317769976862578,1.9624671999999999
36,gamma,13.639645416991911,2.950849700412439,0.33888544030562806,4.622277242749945,1.2515679999999998
37,gamma,2.523766127795943,0.5640343406589875,1.7729416950600092,4.474490196549575,2.8165599999999995
38,gamma,7.213342386790284,1.426985016848128,0.70077820593292794,5.05495313659484,1.8821267199999998
39,gamma,3.0087927764452775,0.668420611158401,1.49606398023388,4.501346496827669,2.59505344
40,gamma,5.127157577156005,1.0108655970164337,0.9892511951653084,5.0720467610024444,2.2399839999999998
41,gamma,7.913780570498049,1.6025598044059157,0.6240016736041308,4.9382123205266355,1.7554067200000003
42,gamma,3.71419647033325,0.876580414071011,1.14079665019642,4.237142891527538,2.1985719040000005
43,gamma,4.752695068612436,0.9807415666207012,1.019636603601555,4.846021857713843,2.2228768000000003
44,gamma,4.133523212122537,0.9179778483283426,1.0893509051672885,4.502857252655684,2.21476672
45,gamma,7.942522725598944,1.7477870462488576,0.572152083485356,4.544330925581224,1.6124665599999999
46,gamma,4.608188486184043,0.9230921088011387,1.0833155114918542,4.992122066961341,2.3255199999999996
47,gamma,10.39614639068542,2.197902624691422,0.4549792100732381,4.730030472639798,1.466992
48,gamma,10.839653480758452,2.082570210522975,0.4801758879230679,5.204940234901564,1.5809132800000005
49,gamma,3.309880572655618,0.6607366921618852,1.5134621882857275,5.009379094455789,2.7534534400000004
50,gamma,17.82302614753077,4.354025305061811,0.2296725282780146,4.093459476868554,0.9696159999999999
51,gamma,12.150090038214577,2.7461386283533846,0.3641476761861841,4.424427052868743,1.2693088
52,gamma,4.596604041206078,0.8522695284650483,1.173337737183936,5.393368984439276,2.5156000000000005
53,gamma,10.243765940412485,2.2995259407946063,0.4348722413866085,4.454729454746977,1.3918470400000003
54,gamma,5.860929791864756,1.3061512815320464,0.7656080992601813,4.487175317846946,1.853488
55,gamma,7.41988838667004,1.6253121369988137,0.6152664323583587,4.565208256163693,1.6759532800000003
56,gamma,6.968263781691322,1.2937399118896697,0.7729528870601002,5.3861396078546395,2.0404
57,gamma,5.014045337079942,1.1417532163356943,0.8758460109351542,4.391531607129478,1.9612
58,gamma,4.329611097445694,0.8509372849930572,1.1751747368881116,5.088049582268591,2.4452703999999996
59,gamma,6.7763459542593205,1.3679801968371184,0.7310047340685789,4.953540972250026,1.9029088
60,gamma,5.375307338278651,1.0698396513364548,0.9347195149766506,5.024404668086251,2.16712
61,gamma,13.623345156458749,2.9640915090177637,0.33737150049438874,4.596128397187451,1.2452320000000001
62,gamma,3.6470045228358448,0.67417820244942706,1.4832873509804914,5.409555677691051,2.83265344
63,gamma,7.565772976455718,1.583386989285284,0.6315575451654963,4.778221008289823,1.7371590400000005
64,gamma,7.815716478050054,1.615930024635147,0.6188386778850682,4.836667652001037,1.73006272
65,gamma,6.310661639088311,1.481989743980892,0.6747685023202789,4.258235702857656,1.695088
66,gamma,8.620507965934099,1.7514833784191,0.5709446131898815,4.921832586110537,1.6763334400000005
67,gamma,3.483927971211941,0.6452788089352217,1.5497177129528021,5.399104887638865,2.8925919999999996
68,gamma,6.814672062026808,1.3764263020577348,0.7265191013169513,4.9509894222734525,1.8965728
69,gamma,6.369719850198488,1.4048878199163375,0.7118006048764456,4.533970442264787,1.7964640000000003
70,gamma,3.8848478906862463,0.909502818495074,1.0995018153485978,4.271397308162698,2.16712
71,gamma,4.355041657966772,0.8592211816343115,1.1638446786168786,5.068592058779456,2.4287967999999998
72,gamma,2.040528350026794,0.4535942897705822,2.204613291110383,4.49857592135661,3.149225344
73,gamma,5.147689339055859,0.989106470822418,1.0110135051169207,5.204383441931868,2.2938400000000003
74,gamma,6.06377324801214,1.2070078898508885,0.8284949985898917,5.023805808561241,2.0401465600000006
75,gamma,5.383559395286961,1.0452350344495684,0.9567226193548041,5.1505730461111066,2.21983552
76,gamma,5.654162250525179,1.1653833756081275,0.8580867214432107,4.851761548061116,2.0404
77,gamma,4.422654894072957,0.8475147560878726,1.1799204589852796,5.218380992548056,2.4813856000000003
78,gamma,4.5324837789455446,0.915248876139979,1.092598992546656,4.952187210609962,2.3261029119999996
79,gamma,5.903025546262871,1.0967558496238892,0.911779955714784,5.382260371154799,2.2152735999999997
80,gamma,6.929214823448119,1.3166862310220953,0.759482385734175,5.262616605376987,1.9992159999999999
81,gamma,5.361005876811599,1.1526666766256903,0.8675534916367966,4.650959367113289,2.00872
82,gamma,2.879614846347407,0.5258360592010299,1.9017334062624538,5.476259750468187,3.2271328
83,gamma,117.7165626618806,24.039389225691565,0.04159839464354078,4.896820029690007,0.4513312
84,gamma,4.296079476008879,0.817554665197673,1.2231597990554117,5.254791708601099,2.535241600000001
85,gamma,12.900882041458502,2.705365063193067,0.3696358815322794,4.768628905938465,1.327650688
86,gamma,18.390389748305385,3.809423726260539,0.26250689654354475,4.827604139053867,1.1257350400000001
87,gamma,9.335274692887474,2.1240254826782587,0.4708041443735716,4.395086014277143,1.4384800000000004
88,gamma,4.419028823311927,0.8858462649819099,1.1288640473304037,4.9884827627536135,2.3730399999999996
89,gamma,3.308452659667042,0.7168433138811038,1.3950049901223753,4.615307969819169,2.5373958400000007
90,gamma,8.48992722303719,1.7384301276463185,0.5752316323198517,4.883674694784429,1.6760800000000002
91,gamma,18.76944568127677,3.9746530558822486,0.25159428658057587,4.7222852956937,1.09
92,gamma,27.069207457436832,5.843286445491584,0.1711365700327005,4.632531317769337,0.890390656
93,gamma,8.645276113255651,1.777784586927155,0.5624978455508317,4.862949187898372,1.6539040000000005
94,gamma,10.062133767899212,2.0883804165374893,0.4788399623369331,4.818151754450041,1.5189218560000004
95,gamma,4.3654802365862055,0.9236186513516699,1.0826979279127267,4.726496406495844,2.2621599999999997
96,gamma,5.549736814616599,1.3067200031712851,0.7652748848820674,4.24707420193149,1.8028253440000002
97,gamma,4.287167417112679,0.7983502706648525,1.2525830287089612,5.370033147909374,2.5935328
98,gamma,4.656876884018641,1.0838786339304272,0.9226125220069508,4.296492926640309,1.9909792000000002
99,gamma,7.663871863335857,1.446621113663398,0.6912660063889275,5.297774096444647,1.9136800000000003
100,gamma,2.2807644498857673,0.4077708177157101,2.45235793380678,5.5932507938218174,3.7036000000000007
